date,imdbId,title,originalTitle,medium,place,with,rewatch,note,VF,comment,year,runtime,country,directors,actors,genres,femaleDirector
2022-08-28,tt12593682,Bullet Train,Bullet Train,Cinéma Pathé Beaugrenelle,Paris,Youssr,,***,,4DX,2022,127,États-Unis,David Leitch,"Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,Andrew Koji,Hiroyuki Sanada,Michael Shannon,Bad Bunny,Sandra Bullock,Zazie Beetz,Logan Lerman,Masi Oka,Karen Fukuhara,Kevin Akiyoshi Ching,Minchi Murakami,Kaori Taketani,Toshitaka Katsumi,Jim Garrity,Emelina Adams,Jenson Cheng,Nobuaki Shimamoto,Yoshi Sudarso,Johanna Watts,Ian Martinez,Tania Verafield,Pancho Cardena,Julio Gabay,Andrea Muñoz,Nancy Daly,Arnold Chun,Naomi Matsuda,Benmio McCrea,Pasha D. Lychnikoff,Joshua Johnson-Payne,Miles Marz,Michelle Lee,Parker Lin,Garland Scott,Jason Matthew Smith,Zooey Miyoshi,Kamil Aydin,David Leitch,Channing Tatum,Ryan Reynolds,M.G. Gong,Alonso Saravia,Ricky Su,Marco M Torres,Ebaa AbuAmmar,Chris Aemond,Naomi Amante,Ayne Aoun,Gina Aponte,Ray Buffer,Justin Cabanting,Anna Carina,Kate Chen,Josh Cruze,Louis Delavenne,Mike Ferguson,Reut Fish,Rolando Gonzalez,Brandon Halvorsen,Masashi Ishizuka,Reyna Kajino,Shota Kakibata,Alice Ko,David Kuahiwinui,Waymond Lee,Leon Masuda,Ego Mikitas,Shoko Rice,RiRia,Lyonne Sakamoto,Ezra Samson,Jose J. Santana,Sakura Sugihara,Kim Taratko,Charlotte Xia,Harrison Xu","Action,Comédie,Thriller",
2022-08-29,tt9198364,Trois mille ans à t'attendre,Three Thousand Years of Longing,Cinéma Gaumont Convention,Paris,,,****,,,2022,108,Australie,George Miller,"Tilda Swinton,Idris Elba,Ece Yüksel,Zerrin Tekindor,Erdil Yaşaroğlu,Lachy Hulme,Ogulcan Arman Uslu,Kaan Guldur,Alyla Browne,Nicola Mouawad,Angie Tricker,Hayley Gia Hughes,Jason Jago,Seyithan Özdemir,Burcu Gölgedar,Berk Ozturk,Pia Thunderbolt,Matteo Bocelli,Megan Gale,Jack Braddy,Melissa Jaffer,Anne Charleston,Aamito Lagum,Aiden Mckenzie,Aska Karem,Shakriya Tarinyawat,Hugo Vella,John Puckeridge-Webb,Anna Adams,James Dobbins Jones,Tendai Dzwairo,Randolph Fields,Amelia Patomaki,Sarah Houbolt,Callum Moran,Shane Miller,Feride Eralp,Georgiou Thomas,Arshia Dehghani,Talia Tulin Sert,Melissa Kahraman,Nathan Susskind,Ronny Mouawad,Michelotti Edoardo,Prakash Paul,Sabrina Elba,Olivia Porter,Burwaiss Ahmed,Quaden Bayles,Botan Ozer,David Collins,David Paulsen,Tahlia Crinis","Fantastique,Drame,Romance",
2022-08-30,tt9155512,Le Visiteur du futur,Le Visiteur du futur,Cinéma Le Grand Rex,Paris,Théo,,****,,Avant-première,2022,102,France,François Descraques,"Florent Dorin,Enya Baroux,Raphaël Descraques,Arnaud Ducret,Slimane-Baptiste Berhoun,Mathieu Poggi,Audrey Pirault,Lénie Chérino,Simon Astier,Ludovik,Vincent Tirel,Julie Farenc,Assa Sylla,Marc Riso,David Coscas,Raphaël Carlier,Kyan Khojandi,Bruno Muschio,David Marsais,Monsieur Poulpe,Davy Mourier,Valentin Jean,Alex Ramirès,Jenny Letellier,Antoine Daniel","Aventure,Comédie,Science-Fiction",
2022-08-31,tt1187064,Triangle,Triangle,Piratage,Paris,"Tony,Benoît",,****,,,2009,99,Australie,Christopher Smith,"Melissa George,Liam Hemsworth,Emma Lung,Rachael Carpani,Michael Dorman,Joshua McIvor,Henry Nixon,Jack Taylor,Bryan Probets",Horreur,
2022-09-04,tt19653180,Leila et ses frères,برادران لیلا,Cinéma Gaumont Convention,Paris,,,****,,,2022,165,Iran,Saeed Roustayi,"Taraneh Alidoosti,Saeed Poursamimi,Navid Mohammadzadeh,Payman Maadi,Mohammad Ali Mohammadi,Farhad Aslani",Drame,
2022-09-05,tt4034354,Swiss Army Man,Swiss Army Man,Piratage,Paris,,,****,,,2016,97,États-Unis,"Daniel Scheinert,Daniel Kwan","Paul Dano,Daniel Radcliffe,Mary Elizabeth Winstead,Antonia Ribero,Timothy Eulich,Richard Gross,Marika Casteel,Andy Hull,Aaron Marshall,Shane Carruth,Jessica Harbeck","Comédie,Drame,Romance,Fantastique,Aventure",
2022-09-06,tt6710474,Everything Everywhere All at Once,Everything Everywhere All at Once,Cinéma Pathé Beaugrenelle,Paris,Julien,X,*****,,4DX,2022,139,États-Unis,"Daniel Scheinert,Daniel Kwan","Michelle Yeoh,Ke Huy Quan,Stephanie Hsu,James Hong,Jamie Lee Curtis,Tallie Medel,Jenny Slate,Harry Shum Jr.,Biff Wiff,Anthony Molinari,Peter Banifaz,Audrey Wasilewski,Andy Le,Brian Le,Daniel Scheinert,Sunita Mani,Aaron Lazar,Li Jing,Panuvat Anthony Nanakornpanom,Dylan Henry Lau,Michiko Nishiwaki,Cara Marie Chooljian,Randall Archer,Efka Kvaraciejus,Neravana Cabral,Chelsey Goldsmith,Craig Henningsen,Jason Hamer,Timothy Ralston,Hiroshi Yada,Jane Lui,Timothy Eulich,Boon Pin Koh,Randy Newman,Benjamin Brewer,Ethan Feldbau,Evan Halleck,Jeff Desom,Matthew Wauhkonen","Action,Aventure,Science-Fiction",
2022-09-07,tt0067023,Duel,Duel,Piratage,Paris,,,***,,,1971,86,États-Unis,Steven Spielberg,"Dennis Weaver,Jacqueline Scott,Eddie Firestone,Lou Frizzell,Gene Dynarski,Lucille Benson,Tim Herbert,Charles Seel,Shirley O'Hara,Alexander Lockwood,Amy Douglass,Dick Whittington,Carey Loftin,Dale Van Sickel,Shawn Steinman","Action,Thriller,Téléfilm",
2022-09-11,tt0072226,Sugarland Express,The Sugarland Express,Piratage,Paris,,,***,,Dans le train en rentrant de Dijon,1974,108,États-Unis,Steven Spielberg,"Goldie Hawn,Ben Johnson,Michael Sacks,William Atherton,Gregory Walcott,Steve Kanaly,Louise Latham,Harrison Zanuck,A.L. Camp,Jessie Lee Fulton,Dean Smith,Ted Grossman,Bill Thurman,Buster Daniels,James N. Harrell,Frank Steggall,Roger Ernest,Guich Koock,Merrill Connally,Gene Rader,Gordon Hurst,George Hagy,Big John Hamilton,Kenneth Crone,Charles Conaway,Robert Golden,Rudy Robbins,Charlie Dobbs,Gene Lively,John L. Quinlan III,Ralph E. Horwedel,Edwin 'Frog' Isbell,James Robert Allen,Marianna Clore Blase,Richard Bright,Dean Jones,Harvey Christiansen","Crime,Drame",
2022-09-12,tt13391708,Les Cinq diables,Les Cinq diables,Cinéma Gaumont Convention,Paris,,,****,,,2022,95,France,Léa Mysius,"Adèle Exarchopoulos,Sally Dramé,Swala Emati,Moustapha Mbengue,Daphne Patakia,Patrick Bouchitey,Noée Abita,Merwan Rim,Antonia Buresi","Drame,Fantastique",X
2022-09-13,tt6710474,Everything Everywhere All at Once,Everything Everywhere All at Once,Cinéma Gaumont Parnasse,Paris,Raphaëlle,X,*****,,,2022,139,États-Unis,"Daniel Scheinert,Daniel Kwan","Michelle Yeoh,Ke Huy Quan,Stephanie Hsu,James Hong,Jamie Lee Curtis,Tallie Medel,Jenny Slate,Harry Shum Jr.,Biff Wiff,Anthony Molinari,Peter Banifaz,Audrey Wasilewski,Andy Le,Brian Le,Daniel Scheinert,Sunita Mani,Aaron Lazar,Li Jing,Panuvat Anthony Nanakornpanom,Dylan Henry Lau,Michiko Nishiwaki,Cara Marie Chooljian,Randall Archer,Efka Kvaraciejus,Neravana Cabral,Chelsey Goldsmith,Craig Henningsen,Jason Hamer,Timothy Ralston,Hiroshi Yada,Jane Lui,Timothy Eulich,Boon Pin Koh,Randy Newman,Benjamin Brewer,Ethan Feldbau,Evan Halleck,Jeff Desom,Matthew Wauhkonen","Action,Aventure,Science-Fiction",
2022-09-14,tt14913250,Tout le monde aime Jeanne,Tout le monde aime Jeanne,Cinéma Gaumont Convention,Paris,,,***,,,2022,95,France,Céline Devaux,"Blanche Gardin,Laurent Lafitte,Marthe Keller,Nuno Lopes,Maxence Tual,Samira Sedira,Lisa Mirey,Andrew Sanko Logan,Patty Hannock,Pedro Lacerda,Ana Paula Motta,Carla Santana Viera,Elé Asu,Fernando Lupach,Lydie Bárbara,Isabel Cardoso,Léa Mysius,Vincent Prades,Enéa Vivrel-Fourrier,Louise Loeb","Drame,Comédie,Animation",X
2022-09-16,tt17538510,La Femme de Tchaïkovski,Жена Чайковского,Cinéma mk2 Bibliothèque ,Paris,,,****,,Avant-première,2023,143,Russie,Kirill Serebrennikov,"Alena Mikhaylova,Odin Lund Biron,Nikita Elenev,Ekaterina Ermishina,Philip Avdeev,Miron Fedorov,Andrey Burkovskiy,Alexandr Gorchilin,Maksim Emelyanov,Varvara Shmykova,Vladimir Mishukov,Viktor Horinyak,Akilina Sokolova,Yuliya Aug,Natalya Pavlenkova,Gurgen Tsaturyan,Sofya Reznik,Irina Rudnitskaya,Georgiy Kudrenko,Olga Dobrina,Aleksey Fokin,Tatyana Dolmatovskaya,Artem Nemov,Stanislav Rumyantsev,Savva Savelyev,Ilya Demutsky,Vasily Zorky,Dmitriy Andreev,Marina Kleshchyova,Vladislav Semiletkov","Drame,Histoire,Romance",
2022-09-17,tt0083866,E.T. l'extra-terrestre,E.T. the Extra-Terrestrial,Cinéma Pathé La Villette,Paris,,X,*****,X,IMAX,1982,115,États-Unis,Steven Spielberg,"Henry Thomas,Drew Barrymore,Robert MacNaughton,Peter Coyote,Dee Wallace,Erika Eleniak,K.C. Martel,C. Thomas Howell,Sean Frye,David M. O'Dell,Richard Swingler,Frank Toth,Robert Barton,Michael Darrell,David Berkson,David Carlberg,Milt Kogan,Alexander Lampone,Rhoda Makoff,Robert Murphy,Richard Pesavento,Tom Sherry,Susan Cameron,Will Fowler Jr.,Barbara Hartnett,Diane Lampone,Mary Stein,Mitch Suskin,Ted Grossman,James Kahn,Anne Lockhart,Melissa Mathison,Debra Winger","Science-Fiction,Aventure,Familial,Fantastique",
