date,imdbId,title,originalTitle,medium,place,with,rewatch,note,VF,comment,year,runtime,country,directors,actors,genres,femaleDirector
2022-11-04,tt10304142,Amsterdam,Amsterdam,Cinéma Gaumont Parnasse,Paris ,,,***,,,2022,134,États-Unis,David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Robert De Niro,Anya Taylor-Joy,Rami Malek,Chris Rock,Zoe Saldaña,Mike Myers,Michael Shannon,Timothy Olyphant,Andrea Riseborough,Taylor Swift,Matthias Schoenaerts,Alessandro Nivola,Mel Fair,Vaughn Page,Bonnie Hellman,Max Perlich,Jessica Drake,Ed Begley Jr.,Colleen Camp,Gabé Doppelt,Lauren Shaw,Brandon Davis,Casey Biggs,Dey Young,Sean Avery,Gigi Bermingham,André Tardieu,Casey Graf,Rebecca Wisocky,Daniel Riordan,Steven Hack,Floyd Armstrong,Leonard A. Tucker Jr.,Baxter Humby,Richie Harrington,John Pirkis,Shedell,Kindsey Vaughn,Beth Grant,Christopher Gehrman,Shiree Nelson,Tom Irwin,Leland Orser,David Babbitt,Mike Azevedo,Martin Harris,Christopher Kager,Donovan Hurst,Jarrett Johnson,Kawan DeBose,Deon Sams,Adolf Hitler,Benito Mussolini","Crime,Comédie,Histoire,Mystère,Thriller",
2022-11-04,tt10399608,Piggy,Cerdita,Cinéma Luminor Hôtel de Ville,Paris ,,,***,,,2022,90,Espagne,Carlota Pereda,"Laura Galán,Adrian Grösser,Carmen Machi,Julián Valcárcel,José Pastor,Irene Ferreiro,Camille Aguilar,Claudia Salas,Richard Holmes,Pilar Castro,Chema del Barco,Fernando Delgado-Hierro,Amets Otxoa,Mabel del Pozo,Fred Tatien,Stéphanie Magnin Vella,Lía Lois","Drame,Thriller,Horreur",X
2022-11-06,tt4699388,Un Homme à la hauteur,Un homme à la hauteur,Netflix,Arras,parents,,***,,,2016,98,France,Laurent Tirard,"Jean Dujardin,Virginie Efira,Cédric Kahn,César Domboy,Stéphanie Papanian,Edmonde Franchi,Manoëlle Gaillard,Bruno Gomila,Myriam Tekaïa,François-Dominique Blin,Éric Berger,Bruno Hausler,Christian Valsamidis,Christiane Conil,Maria Laborit,Camille Damour,Marc Bonzom,Florence Demay,Geoffrey Couët,Fabienne Galula,Sophie Payan,Mathilde Granguillot,Jean-Michel Lahmi","Comédie,Romance,Drame",
2022-11-07,tt7286456,Joker,Joker,TV,Arras,parents,X,****,,,2019,122,États-Unis,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,Shea Whigham,Bill Camp,Glenn Fleshler,Leigh Gill,Josh Pais,Rocco Luna,Marc Maron,Sondra James,Murphy Guyer,Douglas Hodge,Dante Pereira-Olson,Carrie Louise Putrello,Sharon Washington,Hannah Gross,Frank Wood,Brian Tyree Henry,April Grace,Mick Szal,Carl Lundstedt,Michael Benz,Ben Warheit,Gary Gulman,Sam Morril,Chris Redd,Mandela Bellamy,Demetrius Dotson II,Greer Barnes,Ray Iannicelli,Bryan Callen,Peter Hans Benson,Vito Gerbino,Adam Quezada,Xavyer Ureña,Evan Rosado,Damian Emmanuel,Mike Troll,Jane Fergus,David Gibson,Tony D. Head,Jeff McCarthy,Kim Brockington,Troy Roberts,Lou Young,Michael-Scott Druckenmiller,Craig Austin,John Cenatiempo,Danny Schoch,Keith Buterbaugh,James Ciccone,Rich Campbell,Roger Squitero,Steven Elson,Graham Mabry,John Alldred,Alonzo Wright,Jack Wilkins,Richard Baratta,Mary Kate Malat,Adrienne Lovette,Justin Theroux,Alissa Bourne,Jamaal Burcher,Dj Nino Carta,John Cashin,Jason John Cicalese,Brendan Patrick Connor,Blaise Corrigan,Dennis Jay Funny,Matthias Sebastiun Garry,James P. Harkins,Joseph Hernandez,Ben Heyman,Graham Maby,Jolie Chan,Jesse Schratz,Isabella Ferreira","Crime,Thriller,Drame",
2022-11-08,tt12253164,Radio Metronom,Metronom,Cinéma Mégarama,Arras,papa,,***,,,2022,102,Roumanie,Alexandru Belc,"Mara Bugarin,Alina Brezunteanu,Mara Vicol,Serban Lazarovici,Vlad Ivanov,Mihai Călin,Andreea Bibiri","Drame,Romance",
2022-11-08,tt11897340,Le Piège de Huda,صالون هدى,Cinéma Mégarama,Arras,maman,,***,,,2022,90,Palestine,Hany Abu-Assad,"Maisa Abd Elhadi,Ali Suliman,Manal Awad,Samer Bisharat,Omar Abu Amer,Kamel El Basha,Jalal Masrwa,Angham Khalil,Ibrahim Arafa",Thriller,
2022-11-08,tt0087469,Indiana Jones et le Temple maudit,Indiana Jones and the Temple of Doom,Piratage,Arras,parents,X,****,,,1984,118,États-Unis,Steven Spielberg,"Harrison Ford,Kate Capshaw,Ke Huy Quan,Amrish Puri,Roshan Seth,Philip Stone,Roy Chiao,David Yip,Ric Young,Chua Kah Joo,Rex Ngui,Philip Tan,Dan Aykroyd,Akio Mitamura,Michael Yama,D.R. Nanayakkara,Dharmadasa Kuruppu,Stany De Silva,Ruby de Mel,Denavaka Hamine,Iranganie Serasinghe,Dharshana Panangala,Raj Singh,Frank Olegario,Ahmed El Shenawi,Arthur F. Repola,Nizwar Karanj,Pat Roach,Moti Makan,Mellan Mitchell,Bhasker Patel,Arjun Pandher,Zia Gelani,Debbie Astell,Maureen Bacchus,Corinne Barton,Carol Beddington,Sharon Boone,Elizabeth Burville,Marisa Campbell,Christine Cartwright,Andrea Chance,Jan Colton,Louise Dalgleish,Lorraine Doyle,Vanessa Fieldwright,Brenda Glassman,Elaine Gough,Sue Hadleigh,Sarah-Jane Hassell,Samantha Hughes,Julie Kirk,Deirdre Laird,Vicki McDonald,Nina McMahon,Julia Marstand,Gaynor Martine,Lisa Mulidore,Dawn Reddall,Rebekkah Sekyi,Clare Smalley,Lee Sprintall,Jenny Turnock,Ruth Welby,Yash Agnihotri,Dickey Beer,Kenneth Coombs,Sid Ganis,Billy Horrigan,Kathleen Kennedy,Brad Kesten,Alex Klaus,Katie Leigh,Patrick Loh,George Lucas,Tress MacNeille,Frank Marshall,Anthony Powell,Steven Spielberg,Guy Standeven,Ron Taylor","Aventure,Action",
2022-11-09,tt16315948,Klondike,Клондайк,Cinéma Mégarama,Arras,parents,,***,,,2022,100,Ukraine,Maryna Er Gorbach,"Oksana Cherkashyna,Sergey Shadrin,Oleh Scherbyna,Oleg Shevchuk,Artur Aramyan,Evgenij Efremov","Drame,Guerre",X
2022-11-09,tt18550228,C'est mon homme,C'est mon homme,Cinéma Mégarama,Arras,"parents,mamy",,***,,,2023,87,France,Guillaume Bureau,"Louise Bourgoin,Leïla Bekhti,Karim Leklou,Jean-Charles Clichet,Ghislain de Fonclare","Drame,Romance,Histoire",
2022-11-09,tt0088939,La Couleur pourpre,The Color Purple,Piratage,Arras,parents,,****,,,1985,154,États-Unis,Steven Spielberg,"Danny Glover,Whoopi Goldberg,Margaret Avery,Oprah Winfrey,Willard E. Pugh,Akosua Busia,Desreta Jackson,Adolph Caesar,Rae Dawn Chong,Dana Ivey,Leonard Jackson,Bennet Guillory,John Patton Jr.,Carl Anderson,Susan Beaubian,James Tillis,Phillip Strong,Laurence Fishburne,Peto Kinsaka,Lelo Masamba,Margaret Freeman,Howard Starr,Daphaine Oliver,Jadili Johnson,Lillian Njoki Distefano,Donna Buie,Leon Rippy,John R. Hart,David Thomas,Carrie Murphy,Juliet Poe,Katie Simon,Ethel Taylor,Marcus Covington,Marcus Liles,April Myers,Maurice Moore,Lechanda Latharp,Drew Bundini Brown,Arnold F. Turner,Jeris Poindexter,Hawthorne James,Sonny Terry,Greg Phillinganes,Roy Gaines,Paulinho da Costa,Nana Yaw Asiedu,Clarence Avant,Bayo Martin,Ndugu Chandler,Jeffrey Kwashi,Pete Munzhi,Aniijia Rae Schockley,Maria Howell,Gayle King",Drame,
2022-11-10,tt0080678,Elephant Man,The Elephant Man,Cinéma Mégarama,Arras,,,****,,,1980,124,Royaume-Uni,David Lynch,"Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,Wendy Hiller,Freddie Jones,Michael Elphick,Hannah Gordon,Helen Ryan,John Standing,Dexter Fletcher,Lesley Dunlop,Phoebe Nicholls,Pat Gorman,Kenny Baker,Claire Davenport,Orla Pederson,Patsy Smart,Kathleen Byron,William Morgan Sheppard,Frederick Treves,Richard Hunter,Robert Lewis Bush,Roy Evans,Joan Rhodes,Nula Conwell,Tony London,Alfie Curtis,Bernadette Milnes,Carol Harrison,Hugh Manning,Dennis Burgess,Fanny Carby,Gerald Case,David Ryall,Deirdre Costello,Pauline Quirke,Marcus Powell,Lesley Scoble,Eiji Kusuhara,Patricia Hodge,Tommy Wright,Peter Davidson,John Rapley,Janie Kells,Lydia Lisle,Eric Bergren,Christopher De Vore,Harry Fielder,David Lynch,Ralph Morse,Fred Wood,Stromboli,James Cormack,Brenda Kempner,Chris Greener,Gilda Cohen,Teri Scoble,Robert Day,Hugh Spight,Teresa Codling,Marion Betzold,Caroline Haigh,Florenzio Morgado,Victor Kravchenko,Beryl Hicks,Michele Amas,Lucie Alford,Penny Wright,Jack Armstrong,Adam Caine,Tony Clarkin,Dave Cooper,Chick Fowles,Juba Kennerley,Jay McGrath,Henry Roberts,Kevin Schumm,Ian Selby,Guy Standeven,Reg Thomason","Drame,Histoire",
2022-11-10,tt8028222,Working Class Heroes,Heroji radničke klase,Cinéma Mégarama,Arras,,,**,,,2022,85,Serbie,Miloš Pušić,"Boris Isaković,Jasna Đuričić,Stefan Beronja,Predrag Momčilović,Bojana Milanović,Aleksandar Đurica,Mihajlo Pleskonjić,Ervin Hadžimurtezić,Filip Đurić,Milan Aranđelović,Jovana Belović,Danilo Brakočević,Andrija Nikitović 'Brica',Vera Hrćan-Ostojić,Stefan Isaković,Nikola Jezdić,Peđa Marjanović,Sunčica Milanović",Drame,
2022-11-10,tt2354181,Les Gamins,Les Gamins,Netflix,Arras,parents,,***,,,2013,95,France,Anthony Marciano,"Alain Chabat,Max Boublil,Sandrine Kiberlain,Mélanie Bernier,Arié Elmaleh,Elisa Sednaoui,Alban Lenoir,François Dunoyer,Nicolas Briançon,Mélusine Mayance,Iggy Pop,Kheiron,Sébastien Castro",Comédie,
2022-11-16,tt14465706,Balle perdue 2,Balle perdue 2,Netflix,Paris,,,***,,,2022,99,France,Guillaume Pierret,"Alban Lenoir,Stéfi Celma,Pascale Arbillot,Sébastien Lalanne,Diego Martín","Action,Drame,Thriller",
2022-11-17,tt0092965,Empire du soleil,Empire of the Sun,Piratage,Paris,,,****,,,1987,153,États-Unis,Steven Spielberg,"Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers,Joe Pantoliano,Leslie Phillips,Masatō Ibu,Emily Richard,Rupert Frazer,Peter Gale,Takatarô Kataoka,Ben Stiller,David Neidorf,Ralph Seymour,Robert Stephens,Naishe Zhai,Guts Ishimatsu,Emma Piper,James Walker,Jack Dearlove,Anna Turner,Ann Castle,Yvonne Gilan,Ralph Michael,Sybil Maas,Eric Flynn,James Greene,Simon Harrison,Barrie Houghton,Paula Hamilton,Thea Ranft,Tony Boncza,Nigel Leach,Sheridan Forbes,Peter Copley,Barbara Bolton,Francesca Longrigg,Samantha Warden,Burt Kwouk,Tom Danaher,Paul McGann","Drame,Histoire,Guerre",
2022-11-18,tt9764362,Le Menu,The Menu,Cinéma Pathé Alésia,Paris,,,****,,,2022,106,États-Unis,Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Hong Chau,Janet McTeer,Paul Adelstein,John Leguizamo,Aimee Carrero,Reed Birney,Judith Light,Rebecca Koon,Rob Yang,Arturo Castro,Mark St. Cyr,Peter Grosz,Christina Brucato,Adam Aalderks,Jon Paul Allyn,Mel Fair,Cristian Gonzalez,Matthew Cornwell,John Wilkins III,John Cola,Michael A. Dean,Marcus Aveons Duncan,Alexander Goldstein,Grant Henley,Brandon Herron,Elbert Kim,Melisa Lopez,A. Jae Michele,Jay Shadix,Rachel Trautmann,Victor Zheng","Mystère,Thriller,Horreur,Comédie",
2022-11-19,tt0078748,"Alien, le huitième passager",Alien,Cinéma L'Arlequin,Paris,,,*****,,,1979,117,États-Unis,Ridley Scott,"Tom Skerritt,Sigourney Weaver,Veronica Cartwright,Harry Dean Stanton,John Hurt,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Boris Kempner","Horreur,Science-Fiction",
2022-11-22,tt9114286,Black Panther : Wakanda Forever,Black Panther: Wakanda Forever,Cinéma Gaumont Parnasse,Paris,Raphaëlle,,***,,,2022,162,États-Unis,Ryan Coogler,"Letitia Wright,Lupita Nyong'o,Danai Gurira,Winston Duke,Dominique Thorne,Tenoch Huerta Mejía,Angela Bassett,Florence Kasumba,Michaela Coel,Mabel Cadena,Lake Bell,Alex Livinalli,Robert John Burke,Danny Sapani,Isaach De Bankolé,Connie Chiume,Martin Freeman,Julia Louis-Dreyfus,Richard Schiff,Michael B. Jordan,Dorothy Steel,Zainab Jah,Sope Aluko,Trevor Noah,Shawn Roberts,Zola Williams,Janeshia Adams-Ginyard,Jemini Powell,Marija Abney,Keisha Tucker,Ivy Haralson,Maya Macatumpag,Baaba Maal,Jabari Exum,Massamba Diop,Magatte Saw,Gerardo Aldana,Gigi Bermingham,Rudolph Massanga,Judd Wild,Amber Harrington,Michael Blake Kruse,Justin James Boykin,Anderson Cooper,Mackenro Alexander,Kamaru Usman,T. Love,Floyd Anthony Johns Jr.,Jermaine Brantley,Granger Summerset II,Luke Lenza,Alan Wells,Bill Barrett,Lieiry J. Perez Escalera,Sevyn Hill,Gavin Macon,Skylar Ebron,Taylor Holmes,Angela Cipra,Faya Madrid,María Telón,María Mercedes Coroy,Josué Maychi,Sal Lopez,Irma Estella La Guerre,Manuel Chavez,Leonardo Castro,Juan Carlos Cantu,Shawntae Hughes,Corey Hibbert,Zaiden James,Aba Arthur,Délé Ogundiran,Kevin Changaris,Valerio Dorvillen,Don Castor,Jonathan González Collins,Divine Love Konadu-Sun,Chadwick Boseman,Anderson Cooper","Action,Aventure,Science-Fiction",
2022-11-23,tt13217988,Couleurs de l'incendie,Couleurs de l'incendie,Cinéma Gaumont Parnasse,Paris,,,***,,,2022,135,France,Clovis Cornillac,"Léa Drucker,Benoît Poelvoorde,Alice Isaaz,Fanny Ardant,Clovis Cornillac,Olivier Gourmet,Alban Lenoir,Jérémy Lopez,Philippe Ohrel,Lola Rossi,Manon Jacquart,Stephen Manas,Genevieve O'Neal,Jana Bittnerová,Arnaud Toussaint,Nils Othenin-Girard,Johan Heldenbergh,Olivier Rabourdin,Gilles Privat,Sam Karmann,François Favrat","Histoire,Drame",
2022-11-25,tt10168670,Bones and All,Bones and All,Cinéma Gaumont Parnasse,Paris,Julien,,****,,,2022,131,États-Unis,Luca Guadagnino,"Taylor Russell,Timothée Chalamet,Mark Rylance,Michael Stuhlbarg,Chloë Sevigny,André Holland,Jessica Harper,David Gordon Green,Jake Horowitz,Anna Cobb,Max Soliz,Kendle Coffey,Johanna McGinley,Hannah Barlow,Ellie Parker,Madeleine Hall,Claudio Encarnacion Montero,Sue Hopkins,Aaron J. Gould,Brady Gentry,Dori Lucas,Tom O'Brien","Romance,Drame,Horreur",
2022-11-27,tt15218000,Fire Island,Fire Island,Piratage,Paris,,,***,,,2022,106,États-Unis,Andrew Ahn,"Joel Kim Booster,Bowen Yang,Margaret Cho,Conrad Ricamora,James Scully,Matt Rogers,Tómas Matos,Torian Miller,Nick Adams,Zane Phillips,Michael Graceffa,Aidan Wharton,Peter Smith,Bradley Gibson,Peppermint,Jonathon Timpanelli,Eli Bridges,Marcia Belsky,John Roberts,Robin Byrd,Kenney M. Green,Eliseo Román,August Henderson,Nick Drake,Jason Garcia Ignacio,Michael Joseph DiBenedetto Jr.,Phil Korz,John-Deric Mitchell","Comédie,Romance",
2022-11-28,tt10343028,Armageddon Time,Armageddon Time,Cinéma Gaumont Convention,Paris,,,***,,,2022,115,États-Unis,James Gray,"Banks Repeta,Anne Hathaway,Jeremy Strong,Jaylin Webb,Anthony Hopkins,Ryan Sell,Teddy Coluca,Tovah Feldshuh,Marcia Jean Kurtz,Andrew Polk,Lauren Yaffe,Dane West,Dupree Francois Porter,Griffin Wallace Henkel,Jessica Chastain,Stephanie Groves,Marcia Haufrecht,Oona Girton-Marshall,Ian Hernandez-Oropeza,Aidan Christman,Eva Jette Putrello,Landon James Forlenza,John Dinello,Jacob Mackinnon,Jude Washock,Skyler Wenger,Psalm Mitchell,Jack Parrish,Stephanie Aguinaldo,Diamond Washington,Lauren Sharpe,Lizbeth MacKay,Domenick Lombardozzi,John Diehl,Richard Bekins",Drame,
2022-11-30,tt15471560,Fumer fait tousser,Fumer fait tousser,Cinéma Gaumont Montparnos,Paris,Julien,,***,,,2022,80,France,Quentin Dupieux,"Gilles Lellouche,Vincent Lacoste,Anaïs Demoustier,Jean-Pascal Zadi,Oulaya Amamra,David Marsais,Adèle Exarchopoulos,Grégoire Ludig,Doria Tillier,Jérôme Niel,Blanche Gardin,Alain Chabat,Benoît Poelvoorde,Raphaël Quenard,Anthony Sonigo,Julia Faure,Tanguy Mercier,Olivier Afonso,Marie Bunel,Thémis Terrier-Thiébaux,Sava Lolov,Charlotte Laemmel,Frédéric Bonpart,José Da Silva,Elodie Mareau,Lou Tribord,Zoé Tribord,Benoîte Chivot,Marie-Pierre Bellefleur,Tanguy Mercier,Jules Dhios Francisco","Comédie,Fantastique",
2022-11-30,tt0097576,Indiana Jones et la dernière croisade,Indiana Jones and the Last Crusade,Piratage,Paris,,X,*****,,,1989,127,États-Unis,Steven Spielberg,"Harrison Ford,Sean Connery,Denholm Elliott,Alison Doody,John Rhys-Davies,Julian Glover,River Phoenix,Michael Byrne,Kevork Malikyan,Robert Eddison,Richard Young,Alexei Sayle,Alex Hyde-White,Paul Maxwell,Isla Blair,Vernon Dobtcheff,J.J. Hardy,Bradley Gregg,Jeff O'Haco,Vince Deadrick Sr.,Marc Miles,Ted Grossman,Tim Hiser,Larry Sanders,Will Miles,David Murray,Frederick Jaeger,Jerry Harte,Billy J. Mitchell,Martin Gordon,Paul Humpoletz,Tom Branch,Graeme Crowther,Luke Hanson,Chris Jenkinson,Nicola Scott,Louis Sheldon,Stefan Kalipha,Peter Pacey,Pat Roach,Suzanne Roquette,Eugene Lipinski,George Malpas,Julie Eccles,Nina Armstrong,Albert Evansky,Ronald Lacey,Michael Sheard,Roy Beck,Paul Markham,Hugh Elton,Lee Richards,Nick Gillard,Tip Tipping,Chris Webb,Paul Heasman,Derek Lyons,Vic Armstrong,Peter Diamond,Martin Grace,Dickey Beer,Wayne Michaels","Aventure,Action",
2022-12-02,tt0119081,Event Horizon : Le vaisseau de l'au-delà,Event Horizon,Cinéma Club de l'Étoile,Paris,,,***,,Le Grand Écran Large,1997,92,États-Unis,Paul W. S. Anderson,"Laurence Fishburne,Sam Neill,Kathleen Quinlan,Joely Richardson,Richard T. Jones,Jack Noseworthy,Jason Isaacs,Sean Pertwee,Peter Marinker,Holley Chant,Barclay Wright,Noah Huntley,Robert Jezek,Teresa May,Emily Booth","Horreur,Science-Fiction,Mystère",
2022-12-04,tt0096794,Always,Always,Piratage,Paris,,,***,,,1989,124,États-Unis,Steven Spielberg,"Richard Dreyfuss,Holly Hunter,John Goodman,Brad Johnson,Audrey Hepburn,Marg Helgenberger,Roberts Blossom,Keith David,Ed Van Nuys,Dale Dye,Brian Haley,James Lashly,Michael Steve Jones,Kim Robillard,Jim Sparkman,Doug McGrath,Shereil L. Bowens,Acencion Fuentes,Todd Jacobson,DeMarious T. Morganfield,Mike O'Neal,Larry Landless,Steve Shatnyski,James Pruitt,Joseph McCrossin,JD Souther,David Jackson,David Kitay,Gene Strimling,Roy E. Harrison,Ted Grossman,Gerry Rothschild,Loren Smothers,Taleena Ottwell","Fantastique,Romance,Drame",
2022-12-04,tt0107977,Sacré Robin des bois,Robin Hood: Men in Tights,Cinéma Club de l'Étoile,Paris,,X,****,,,1993,104,États-Unis,Mel Brooks,"Cary Elwes,Richard Lewis,Roger Rees,Amy Yasbeck,Dave Chappelle,Isaac Hayes,Mark Blankfield,Eric Allan Kramer,Matthew Porretta,Megan Cavanagh,Patrick Stewart,Tracey Ullman,Dom DeLuise,Dick Van Patten,Robert Ridgely,Mel Brooks,Steve Tancora,Joe Dimmick,Robert Noble,Avery Schreiber,Chuck McCann,Brian George,Zitto Kazann,Richard Assad,Herman Poppe,Clive Revill,Joe Baker,Carol Arthur,Kelly Jones Gabriele,Clement von Franckenstein,Corbin Allred,Chase Masterson,Don Lewis,Dante Henderson,Bryant Baldwin,Tyce Diorio,Nathan Prevost,Christopher D. Childers,Raymond Del Barrio,Malcolm Danare,Nick Jameson,Peter Pitofsky,Nicholas Rempel,Rudy De Luca,Matthew Saks,Brad Grunberg,Laurie Main,Elaine Ballace,James Van Patten,Patrick Brymer,Tony Tanner,Diana Chesney,Ronny Graham,David DeLuise,Debbie James,Danny McBride,Hanala Sagal,Marc Ian Sklar,Tim Storms",Comédie,
2022-12-08,tt0102057,Hook ou la Revanche du capitaine Crochet,Hook,Piratage,Paris,,X,*****,,,1991,136,États-Unis,Steven Spielberg,"Dustin Hoffman,Robin Williams,Julia Roberts,Bob Hoskins,Maggie Smith,Caroline Goodall,Charlie Korsmo,Amber Scott,Arthur Malet,Isaiah Robinson,Gwyneth Paltrow,Phil Collins,Glenn Close,Regina Russell Banali,Jasen Fisher,Dante Basco,Raushan Hammond,James Madio,Ryan Francis,Max Hoffman,Kelly Rowan,Jake Hoffman,Geoffrey Lower,Don S. Davis,Brad Blumenthal,David Crosby,Nick Tate,Jan Cobler,Tony Burton,Jeff Bornstein,Carrie Fisher,George Lucas,Jimmy Buffett","Aventure,Fantastique,Comédie,Familial",
2022-12-09,tt12003946,Violent Night,Violent Night,Cinéma UGC Les Halles,Paris,Raphaëlle,,***,,,2022,112,États-Unis,Tommy Wirkola,"David Harbour,John Leguizamo,Beverly D'Angelo,Alex Hassell,Alexis Louder,Cam Gigandet,Edi Patterson,Leah Brady,Alexander Elliot,Brendan Fletcher,André Eriksen,Mike Dopud,Mitra Suri,Stephanie Sy,Sean Skene,Erik Athavale,Can Aydin,Yoon Cha-Lee,Phong Giang,Frederick Allen,Vance Halldorson,John B. Lowe,Marina Stephenson Kerr,DJ Brotherson,Finn McCager Higgins","Action,Comédie,Crime,Thriller",
2022-12-11,tt3915174,Le Chat Potté 2 : la dernière quête,Puss in Boots: The Last Wish,Cinéma Le Grand Rex,Paris,Youssr,,***,,Féérie des eaux,2022,102,États-Unis,Joel Crawford,"Antonio Banderas,Salma Hayek,Harvey Guillén,Wagner Moura,Florence Pugh,Olivia Colman,Ray Winstone,John Mulaney,Samson Kayo,Da'Vine Joy Randolph,Anthony Mendez,Kevin McCann,Conrad Vernon,Cody Cameron,James Ryan,Joel Crawford,Paul Fisher,Januel Mercado,Al Rodrigo,Miguel Gabriel,Natalia Cronembold","Animation,Aventure,Comédie,Familial,Fantastique",
2022-12-13,tt11877386,Caravage,L'ombra di Caravaggio,Cinéma Pathé Convention,Paris,,,****,,,2022,120,Italie,Michele Placido,"Riccardo Scamarcio,Louis Garrel,Isabelle Huppert,Vinicio Marchioni,Lolita Chammah,Micaela Ramazzotti,Alessandro Haber,Michele Placido,Brenno Placido,Moni Ovadia,Lorenzo Lavia,Tedua,Maurizio Donadoni,Gianfranco Gallo",Histoire,
2022-12-14,tt1630029,Avatar : La voie de l'eau,Avatar: The Way of Water,Cinéma Le Grand Rex,Paris,Théo,,****,,,2022,192,États-Unis,James Cameron,"Sam Worthington,Zoe Saldaña,Sigourney Weaver,Stephen Lang,Kate Winslet,Cliff Curtis,Joel David Moore,CCH Pounder,Edie Falco,Brendan Cowell,Jemaine Clement,Jamie Flatters,Britain Dalton,Trinity Bliss,Jack Champion,Bailey Bass,Filip Geljo,Duane Evans Jr.,Giovanni Ribisi,Dileep Rao,Matt Gerald,Robert Okumu,Jennifer Stafford,Keston John,Kevin Dorman,Alicia Vela-Bailey,Sean Anthony Moran,Andrew Arrabito,Johnny Alexander,Kim Do,Victor T. Lopez,Maria Walker,Phil Brown,Jocelyn Christian,Joel Tobeck,Moana Ete,Phil Peleton,Jamie Landau,Jim Moore,Benjamin Hoetjes,Nikita Tu Bryant,Anthony Ahern,Shane Rangi,Rick Lucas,Tanya Drewery,Ava Diakhaby,Isaac Te Reina,Eric Farmer,Philip Mtambo,Daniel Lough,Cruz Moir,Alex Lucas,Scarlett Fernandez,Chloe Coleman,Jeremy Irwin,Jake McLean,CJ Jones","Science-Fiction,Action,Aventure",
2022-12-17,tt7160070,Along With the Gods : The Two Worlds,신과함께-죄와 벌,Netflix,Paris,,,***,,,2017,139,Corée du Sud,Kim Yong-hwa,"Ha Jung-woo,Cha Tae-hyun,Ju Ji-hoon,Kim Hyang-gi,Lee Jung-jae,Kim Dong-wook,Ye Soo-jung,Oh Dal-su,Im Won-hee,Seong Yu-bin,Goo Seung-hyun,Lee Jun-hyuk,Doh Kyung-soo,Jung Hae-kyun,Kim Hae-sook,Kim Su-an,Lee Kyung-young,Kim Ha-neul,Jang Gwang,Kang Da-hyun,Yu Jun-sang,Nam Il-woo,Jung Ji-hoon,Kim Soo-ro,Na Chul,Tae Won-seok,Oh Hee-joon,Kim Tae-joon,Lim Cheol-soo,Hong In,Kim Min-jong,Ma Dong-seok","Drame,Fantastique,Action",
2022-12-18,tt8116428,Along with the Gods : The last 49 Days,신과함께-인과 연,Netflix,Paris,,,***,,,2018,141,Corée du Sud,Kim Yong-hwa,"Ha Jung-woo,Ju Ji-hoon,Kim Hyang-gi,Ma Dong-seok,Kim Dong-wook,Lee Jung-jae,Jo Han-chul,Im Won-hee,Nam Il-woo,Jung Ji-hoon,Doh Kyung-soo,Lee Jun-hyuk,Jang Gwang,Jung Hae-kyun,Lee Kyung-young,Kim Myung-gon,Ye Soo-jung,Sung Dong-il,Lee Jun-hyeok,Jung Yoo-ahn,Ahn Ji-ho,Jeong A-mi,Seol Si-yeon,Hong In,Lim Cheol-soo","Drame,Fantastique,Action,Aventure",
2022-12-19,tt6710474,Everything Everywhere All at Once,Everything Everywhere All at Once,Piratage,Paris,Renan-Abhinav,X,*****,,,2022,139,États-Unis,"Daniel Scheinert,Daniel Kwan","Michelle Yeoh,Ke Huy Quan,Stephanie Hsu,James Hong,Jamie Lee Curtis,Tallie Medel,Jenny Slate,Harry Shum Jr.,Biff Wiff,Anthony Molinari,Peter Banifaz,Audrey Wasilewski,Andy Le,Brian Le,Daniel Scheinert,Sunita Mani,Aaron Lazar,Li Jing,Panuvat Anthony Nanakornpanom,Dylan Henry Lau,Michiko Nishiwaki,Cara Marie Chooljian,Randall Archer,Efka Kvaraciejus,Neravana Cabral,Chelsey Goldsmith,Craig Henningsen,Jason Hamer,Timothy Ralston,Hiroshi Yada,Jane Lui,Timothy Eulich,Boon Pin Koh,Randy Newman,Benjamin Brewer,Ethan Feldbau,Evan Halleck,Jeff Desom,Matthew Wauhkonen","Action,Aventure,Science-Fiction",
2022-12-20,tt8946378,À couteaux tirés,Knives Out,Netflix,Paris,,X,****,,,2019,130,États-Unis,Rian Johnson,"Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,Michael Shannon,Don Johnson,Toni Collette,Lakeith Stanfield,Christopher Plummer,Katherine Langford,Jaeden Martell,Riki Lindhome,Edi Patterson,Frank Oz,K Callan,Noah Segan,M. Emmet Walsh,Marlene Forte,Raúl Castillo,Shyrley Rodriguez,Kerry Frances,Gary Tanguay,Octavia Chavez-Richmond,Joseph Gordon-Levitt,Paul Bellefeuille,Ben Bunnag,Michael Burnell,Frankie Francois,Marcela Jaramillo,Gabrielle Lorthe,Rob Lévesque,Paul Tawczynski","Comédie,Crime,Mystère",
